timestamp,rssi,rate,channel,bandwidth,data_length,esp_timestamp,csi_data
2026-04-17T14:38:37.804210,-84,10,1,0,,,"[30, -31, 17, 0, 9, -16, 10, -15, 9, -14, 6, -14, 4, -14, 5, -11, 3, -4, 2, 0, 2, 3, 2, 6, -1, 9, -3, 14, 0, 20, 3, 24, 4, 24, 6, 27, 8, 30, 9, 29, 10, 28, 9, 29, 10, 30, 10, 32, 8, 32, 6, 29, 5, 28, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 3, -11, 13, -15, 13, -20, 12, -23, 12, -23, 10, -22, 11, -24, 13, -26, 14, -27, 11, -26, 9, -24, 9, -19, 8, -15, 8, -11, 7, -7, 6, -6, 7, -2, 9, 2, 8, 2, 3, 3, 0, 5, -1, 7, -2, 7, -3, 9, -6, 11, -8, 10, -8]"
2026-04-17T14:38:37.836211,-72,10,1,0,,,"[-7, -112, 15, 0, 16, 22, 16, 21, 15, 20, 15, 18, 13, 15, 11, 11, 10, 9, 8, 6, 4, 3, 1, 0, -2, -3, -4, -6, -6, -7, -9, -8, -11, -10, -12, -11, -15, -12, -16, -12, -16, -12, -17, -11, -18, -11, -18, -11, -17, -10, -16, -9, -15, -8, -4, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, -1, 21, -5, 21, -5, 20, -6, 19, -7, 19, -7, 18, -7, 17, -8, 15, -8, 15, -7, 14, -7, 13, -7, 12, -6, 11, -6, 11, -5, 12, -4, 12, -1, 13, 2, 14, 4, 15, 7, 15, 10, 14, 13, 15, 16, 16, 18, 16, 21, 16, 22, 16, 22]"
2026-04-17T14:38:37.868505,-23,11,1,0,,,"[30, -32, 1, 0, 19, -14, 19, -15, 19, -15, 19, -15, 19, -16, 18, -16, 18, -16, 18, -17, 18, -17, 18, -18, 18, -18, 18, -17, 18, -18, 18, -17, 19, -17, 19, -17, 19, -17, 19, -16, 19, -15, 19, -15, 19, -14, 19, -14, 19, -13, 19, -12, 19, -11, 4, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, -2, 13, -7, 13, -7, 14, -6, 14, -6, 14, -6, 15, -6, 15, -7, 16, -7, 16, -7, 16, -7, 17, -7, 17, -7, 17, -7, 17, -7, 17, -7, 17, -8, 17, -8, 17, -9, 17, -10, 17, -10, 17, -11, 17, -11, 17, -12, 18, -12, 18, -13, 18, -13]"
2026-04-17T14:38:37.899525,-78,10,1,0,,,"[30, -32, 1, 0, -20, 21, -20, 18, -20, 14, -20, 10, -22, 8, -22, 8, -22, 8, -22, 9, -20, 12, -17, 13, -14, 13, -11, 14, -9, 16, -8, 16, -9, 15, -9, 14, -8, 11, -9, 9, -10, 9, -10, 9, -11, 9, -11, 8, -11, 7, -10, 8, -9, 8, -3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, -3, 6, -3, 8, -3, 10, -4, 12, -6, 14, -6, 16, -5, 19, -2, 22, -2, 25, -4, 27, -4, 27, -6, 25, -6, 23, -6, 21, -9, 18, -14, 17, -18, 16, -22, 16, -25, 17, -30, 18, -33, 21, -34, 26, -35, 29, -33, 29, -30, 29, -28, 28]"
2026-04-17T14:38:37.930738,-71,10,1,0,,,"[25, -111, 17, 0, -29, 11, -29, 11, -27, 11, -24, 11, -21, 11, -17, 10, -14, 8, -10, 6, -5, 4, -1, 2, 3, -1, 6, -4, 9, -6, 10, -8, 12, -10, 13, -12, 14, -12, 15, -13, 16, -16, 16, -17, 15, -17, 14, -18, 14, -18, 12, -17, 10, -16, 2, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 6, -4, 23, -3, 23, -2, 23, -3, 23, -2, 23, 0, 21, 0, 20, 0, 19, 0, 17, 1, 16, 1, 16, 1, 15, 1, 14, -1, 13, -3, 12, -4, 12, -7, 12, -10, 12, -13, 12, -16, 12, -20, 12, -23, 12, -25, 11, -27, 11, -29, 11, -30, 10]"
2026-04-17T14:38:37.979016,-83,10,1,0,,,"[0, 1, 16, 0, 16, -5, 16, -8, 14, -9, 11, -7, 10, -6, 6, -6, 2, -3, 0, -1, -2, 2, -6, 6, -10, 6, -11, 6, -10, 13, -9, 20, -12, 23, -14, 24, -15, 25, -15, 28, -15, 30, -16, 31, -17, 32, -17, 31, -18, 28, -19, 25, -19, 22, -5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 2, -13, 10, -17, 10, -22, 11, -25, 8, -25, 5, -27, 3, -30, 2, -30, 2, -28, 1, -28, 2, -26, 2, -22, 2, -20, 3, -17, 5, -12, 6, -9, 7, -5, 9, -2, 9, 1, 6, 3, 5, 3, 4, 4, 2, 8, 2, 11, 0, 15, -2, 20, -4]"
2026-04-17T14:38:38.009591,-84,10,1,0,,,"[30, -31, 17, 0, -16, -13, -14, -11, -15, -10, -13, -8, -9, -7, -5, -7, -2, -7, -2, -7, -1, -4, 4, 0, 8, 0, 13, -2, 17, -4, 21, -4, 24, -4, 27, -6, 29, -9, 32, -10, 33, -10, 32, -8, 33, -7, 33, -7, 31, -9, 30, -7, 28, -4, 6, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 16, 13, 15, 15, 18, 18, 19, 20, 17, 23, 17, 25, 15, 26, 16, 27, 18, 25, 17, 22, 14, 21, 14, 21, 12, 19, 10, 15, 10, 10, 13, 5, 11, 0, 8, -1, 6, -2, 3, -5, -2, -7, -6, -7, -7, -10, -8, -12, -8, -12, -8, -13]"
2026-04-17T14:38:38.050775,-72,10,1,0,,,"[24, -127, 17, 0, 27, 21, 26, 20, 25, 19, 24, 17, 21, 14, 18, 11, 15, 9, 10, 5, 5, 2, 1, 0, -3, -2, -8, -4, -12, -6, -15, -6, -16, -7, -18, -8, -20, -8, -22, -8, -24, -8, -26, -7, -26, -6, -26, -5, -25, -3, -23, -2, -21, -1, -6, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, -3, 25, -11, 25, -11, 23, -10, 22, -11, 22, -12, 21, -12, 19, -12, 18, -12, 16, -12, 15, -12, 14, -12, 14, -11, 14, -10, 13, -8, 14, -6, 14, -3, 15, -1, 17, 1, 19, 4, 21, 8, 22, 12, 24, 14, 26, 17, 28, 19, 29, 20, 28, 20]"
2026-04-17T14:38:38.092979,-72,10,1,0,,,"[24, -127, 17, 0, -4, -36, -5, -34, -5, -33, -4, -30, -5, -26, -6, -22, -6, -17, -4, -12, -3, -7, -2, -1, 0, 4, 2, 7, 3, 11, 4, 14, 6, 16, 7, 19, 8, 20, 10, 21, 12, 21, 13, 21, 14, 21, 15, 21, 15, 19, 14, 17, 13, 16, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -4, -24, -12, -24, -12, -24, -12, -24, -11, -24, -9, -23, -7, -22, -6, -21, -5, -21, -5, -20, -5, -18, -5, -18, -5, -17, -5, -15, -6, -14, -7, -14, -9, -13, -12, -12, -14, -11, -18, -10, -22, -8, -26, -7, -29, -6, -32, -4, -33, -3, -34, -3, -35]"
2026-04-17T14:38:38.126781,-80,10,1,0,,,"[30, -32, 1, 0, 11, -28, 11, -25, 13, -21, 13, -17, 13, -14, 12, -12, 12, -11, 10, -13, 10, -13, 10, -13, 8, -13, 6, -14, 3, -15, 2, -16, 3, -19, 3, -19, 4, -19, 4, -18, 5, -15, 4, -14, 5, -13, 7, -12, 6, -13, 6, -13, 7, -15, 1, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -3, -6, -3, -9, -2, -11, -3, -13, -2, -16, -2, -17, -7, -18, -10, -19, -10, -21, -11, -21, -7, -21, -2, -25, 0, -25, -1, -24, 0, -23, 3, -23, 6, -24, 10, -24, 14, -27, 17, -30, 17, -32, 17, -35, 20, -37, 22, -38, 20, -36, 17, -34]"
