timestamp,rssi,rate,channel,data_length,magnitude,phase,csi_data
2026-04-17T14:47:33.952504,-80,10,1,128,0,1,"[0, 1, 16, 0, -15, 31, -17, 32, -16, 34, -14, 34, -12, 34, -11, 34, -11, 33, -10, 33, -6, 32, -4, 33, -2, 32, -1, 30, 1, 30, 4, 30, 6, 29, 6, 28, 6, 26, 5, 24, 4, 21, 2, 17, 1, 15, 0, 13, -1, 12, -1, 8, -2, 5, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -3, -13, -11, -11, -12, -8, -14, -6, -13, -4, -12, -3, -13, 0, -13, 2, -11, 4, -9, 5, -8, 6, -7, 7, -4, 7, -1, 6, 0, 5, 3, 4, 6, 4, 8, 3, 9, 0, 12, -3, 14, -4, 17, -4, 21, -4, 24, -6, 24, -9, 26, -12, 28]"
2026-04-17T14:47:33.997862,-79,10,1,128,0,-61,"[30, -31, 17, 0, 0, 31, 0, 30, -1, 30, 0, 32, 1, 32, 1, 28, 3, 26, 5, 26, 5, 27, 6, 27, 8, 25, 8, 24, 9, 24, 11, 24, 11, 24, 10, 21, 9, 17, 8, 14, 6, 13, 5, 13, 4, 11, 3, 10, 2, 9, 1, 7, 1, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -2, -16, -6, -12, -7, -10, -8, -9, -7, -7, -7, -6, -10, -6, -13, -3, -11, -1, -8, 1, -7, 2, -4, 4, -2, 7, -3, 6, -3, 6, 2, 6, 6, 3, 6, 2, 7, 2, 9, 2, 12, 3, 13, 2, 15, 0, 17, -1, 18, 1, 19, 3, 23]"
2026-04-17T14:47:34.036604,-71,10,1,128,68,90,"[23, 113, 17, 0, -28, 3, -27, 4, -26, 5, -25, 7, -23, 9, -21, 12, -18, 14, -15, 16, -12, 19, -10, 21, -7, 22, -5, 23, -4, 24, -2, 25, -1, 25, 0, 25, 1, 25, 1, 25, 2, 24, 1, 23, 2, 22, 2, 21, 3, 19, 2, 17, 2, 15, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -2, 10, -7, 11, -6, 13, -4, 14, -3, 15, -1, 16, 1, 16, 3, 15, 5, 14, 7, 12, 8, 11, 9, 9, 10, 7, 11, 4, 12, 1, 12, -3, 12, -6, 12, -10, 11, -15, 12, -20, 15, -21, 13, -23, 8, -24, 6, -26, 5, -27, 4, -27, 4]"
2026-04-17T14:47:34.075357,-80,10,1,128,-51,-151,"[24, -127, 17, 0, 8, 27, 7, 29, 8, 31, 10, 31, 12, 30, 13, 29, 14, 28, 15, 27, 16, 25, 16, 23, 16, 21, 17, 19, 17, 18, 18, 16, 19, 14, 19, 14, 17, 15, 15, 14, 13, 11, 13, 9, 11, 9, 9, 8, 5, 8, 2, 6, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -11, -3, -11, -5, -11, -7, -10, -7, -9, -6, -8, -7, -6, -8, -4, -8, -2, -8, 0, -9, 2, -8, 4, -5, 4, -1, 4, 1, 5, 1, 5, 1, 5, 3, 7, 5, 9, 7, 9, 12, 9, 17, 10, 16, 9, 16, 9, 20, 10, 24, 9, 28]"
2026-04-17T14:47:34.120944,-80,10,1,128,0,-61,"[30, -31, 17, 0, 25, -24, 26, -26, 25, -27, 25, -26, 25, -26, 23, -25, 21, -25, 21, -27, 20, -27, 17, -27, 14, -28, 12, -28, 11, -29, 10, -28, 9, -28, 9, -26, 9, -25, 7, -23, 5, -20, 4, -18, 3, -16, 3, -13, 3, -9, 3, -6, 3, -5, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 7, 15, 3, 15, 0, 15, 0, 15, -1, 13, -3, 11, -6, 11, -9, 11, -8, 9, -7, 6, -8, 2, -8, 0, -6, -2, -5, -2, -5, -5, -3, -8, -1, -10, 2, -11, 4, -12, 7, -12, 10, -14, 11, -16, 12, -19, 15, -20, 19, -21, 20, -23]"
2026-04-17T14:47:34.163971,-71,10,1,128,-59,-105,"[-7, -112, 15, 0, -31, 5, -30, 6, -29, 7, -29, 9, -27, 11, -24, 14, -21, 17, -18, 19, -14, 21, -12, 23, -11, 25, -9, 26, -6, 27, -4, 27, -2, 27, 0, 27, 0, 27, 0, 27, 2, 26, 3, 25, 2, 24, 2, 23, 1, 22, 1, 20, 1, 19, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -3, 10, -9, 12, -8, 14, -7, 16, -5, 17, -3, 17, 0, 17, 1, 17, 3, 16, 5, 15, 7, 13, 9, 11, 10, 8, 12, 6, 13, 2, 13, -2, 13, -6, 13, -11, 13, -15, 12, -18, 12, -22, 11, -25, 10, -27, 8, -29, 6, -30, 4, -30, 3]"
2026-04-17T14:47:34.217247,-79,10,1,128,-51,-151,"[24, -127, 17, 0, -27, -21, -29, -22, -29, -21, -29, -20, -29, -19, -29, -18, -31, -18, -32, -18, -32, -15, -30, -13, -30, -11, -31, -10, -32, -8, -32, -6, -30, -5, -28, -4, -26, -4, -23, -4, -20, -4, -18, -3, -16, -2, -14, -2, -11, -3, -7, -3, -5, -2, -2, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -3, 10, -11, 11, -9, 12, -7, 12, -5, 13, -4, 13, -3, 10, -1, 9, 2, 8, 3, 7, 4, 5, 6, 1, 5, -3, 4, -5, 4, -7, 3, -9, 1, -9, -1, -9, -2, -11, -3, -14, -4, -16, -7, -18, -9, -19, -9, -20, -11, -23, -13, -25, -15]"
2026-04-17T14:47:34.261311,-90,10,1,128,-18,-92,"[28, -64, 1, 0, -13, 4, -11, 4, -9, 5, -6, 6, -3, 7, -2, 6, -1, 6, -1, 6, -2, 4, -1, -1, -2, -3, -3, -1, -4, 0, -3, 0, -4, 0, -6, 1, -6, 2, -4, 1, -1, 3, 0, 4, 0, 3, -2, 3, -1, 3, -1, 4, -2, 5, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 1, -7, 6, -10, 7, -11, 7, -8, 7, -8, 8, -9, 7, -10, 6, -9, 4, -9, 4, -10, 2, -12, -1, -13, -3, -13, -3, -13, -4, -12, -3, -12, -2, -11, -1, -12, 0, -12, 1, -8, 1, -5, 2, -6, 3, -6, 1, -7, 0, -7, 0, -7, -1]"
2026-04-17T14:47:34.299720,-42,15,1,128,-18,-92,"[28, -64, 1, 0, 8, 35, 8, 31, 7, 25, 6, 18, 5, 11, 3, 4, 1, -4, -2, -11, -5, -17, -7, -23, -10, -28, -13, -31, -14, -34, -15, -34, -15, -34, -14, -33, -13, -30, -11, -26, -9, -21, -6, -16, -4, -10, -1, -4, 2, 2, 4, 7, 5, 12, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 15, -1, 10, -2, 4, -3, -3, -4, -10, -4, -16, -4, -23, -4, -29, -3, -33, -2, -36, -1, -38, -1, -37, 0, -36, 0, -32, 0, -27, 0, -21, 0, -14, 0, -6, 1, 1, 1, 9, 2, 17, 3, 24, 4, 30, 5, 35, 6, 38, 7, 40]"
2026-04-17T14:47:34.342971,-81,10,1,128,0,1,"[0, 1, 16, 0, 32, -10, 34, -10, 34, -10, 34, -11, 34, -11, 33, -11, 31, -13, 29, -14, 28, -16, 25, -18, 23, -18, 22, -20, 22, -22, 21, -22, 19, -19, 16, -18, 14, -20, 14, -20, 13, -17, 12, -15, 10, -13, 8, -10, 7, -7, 6, -5, 5, -2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 3, -3, 14, -4, 13, -5, 12, -6, 12, -7, 11, -9, 9, -9, 7, -10, 5, -9, 3, -9, 0, -8, -2, -6, -3, -5, -5, -4, -7, -2, -8, 0, -8, 2, -8, 5, -9, 8, -9, 13, -10, 17, -11, 20, -11, 22, -11, 25, -10, 28, -10, 30, -9]"
